,Course Code,Course,EOS_2017_7_6
0,AL601,Electronics and Computer Engineering,228.0
1,AL602,Mechanical Engineering,212.0
2,AL604,Civil Engineering,
3,AL630,Pharmacy Technician,290.0
4,AL631,Dental Nursing,273.0
5,AL632,Science (Bioscience/Chemistry),190.0
6,AL650,Business,200.0
7,AL651,Music and Instrument Technology,
8,AL652,Business in Equine,
9,AL660,Culinary Arts,183.0
10,AL661,Bar Supervision,
11,AL663,Business (Sport and Recreation),185.0
12,AL701,ICT Engineering: Electronics and Wireless Network Mgt Computer Eng,218.0
13,AL704,Computer Engineering,206.0
14,AL705,Software Development (Mobile Apps and Connected Devices),204.0
15,AL710,Mechanical Engineering,206.0
16,AL711,Mechanical Engineering and Renewable Energy,206.0
17,AL712,Mechatronics,252.0
18,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng,244.0
19,AL721,Civil Engineering,225.0
20,AL730,Biotechnology,206.0
21,AL731,Veterinary Nursing,400.0
22,AL733,Forensic Toxicology,209.0
23,AL734,Pharmaceutical Science (Drug Development and Analysis),218.0
24,AL751,Digital Marketing,207.0
25,AL761,Hotel and Leisure Management,206.0
26,AL763,Graphic Design (Portfolio),750.0
27,AL764,Early Years Care and Education,268.0
28,AL765,Applied Social Studies in Social Care,280.0
29,CW006,Business Studies (Wexford),128.0
30,CW017,Applied Social Studies - Professional Social Care (Wexford),161.0
31,CW027,Sustainable Farm Management and Agribusiness (Wexford),254.0
32,CW037,Business - Business or Digital Marketing (Wexford),187.0
33,CW046,Computing (Wexford),181.0
34,CW047,Visual Communications and Design (Wexford),200.0
35,CW057,Art (Wexford - Portfolio),700.0
36,CW106,Physiology and Health Science,420.0
37,CW107,Analytical Science,215.0
38,CW116,Pharmacy Technician Studies,325.0
39,CW117,Biosciences,213.0
40,CW126,Science - Applied Biology or Applied Chemistry,215.0
41,CW206,Computing – Applications or Programming,231.0
42,CW207,Software Development,240.0
43,CW217,Information Technology Management,249.0
44,CW227,Cybercrime and IT Security,260.0
45,CW407,Architectural Technology,181.0
46,CW416,Construction Technology,207.0
47,CW417,Construction – Management with Building Services,217.0
48,CW427,Civil Engineering,200.0
49,CW507,Aircraft Systems,308.0
50,CW517,Mechanical Engineering,280.0
51,CW527,Electronic Engineering,223.0
52,CW547,TV and Media Production,325.0
53,CW706,Legal Studies,207.0
54,CW707,Industrial Design,262.0
55,CW717,Applied Social Studies - Professional Social Care,240.0
56,CW807,Sports Coaching and Business Management (GAA - Portfolio),700.0
57,CW817,Sports Coaching and Business Management (Rugby - Portfolio),700.0
58,CW827,Sports Coaching and Business Management (Soccer - Portfolio),700.0
59,CW906,Business Studies,173.0
60,CW917,Business,211.0
61,CW926,Business with Law,171.0
62,CW927,Business Administration,214.0
63,CW936,Accounting,215.0
64,PC402,Humanities,105.0
65,PC404,Applied Social Studies in Social Care,
66,CR001,Applied Physics and Instrumentation,287.0
67,CR006,Applied Biosciences,361.0
68,CR007,Analytical and Pharmaceutical Chemistry,280.0
69,CR010,Agriculture (In Year 1 Clonakilty Agri College and CIT),292.0
70,CR011,Horticulture (In Year 1 Clonakilty Agri College and CIT),170.0
71,CR016,Software Development,270.0
72,CR021,Business (Common Entry),290.0
73,CR022,Business Administration,241.0
74,CR031,Social Care,326.0
75,CR032,Recreation and Leisure Management,290.0
76,CR035,Community Development,169.0
77,CR041,Tourism Management,213.0
78,CR042,Hospitality Management,209.0
79,CR046,Automotive Technology and Management,221.0
80,CR051,Civil Engineering,233.0
81,CR052,Construction,225.0
82,CR053,Interior Architecture,260.0
83,CR055,Environmental Engineering,225.0
84,CR061,Electronic Engineering,291.0
85,CR062,Electrical Engineering,277.0
86,CR071,Mechanical Engineering,280.0
87,CR075,Biomedical Engineering,331.0
88,CR090,Architectural Technology,244.0
89,CR094,Nautical Science at National Maritime College of Ireland,285.0
90,CR095,Marine Engineering at National Maritime College of Ireland,262.0
91,CR300,Physical Sciences (Common Entry),282.0
92,CR620,Early Years Education,340.0
93,CR640,Culinary Arts,208.0
94,CR650,Beverage Industry Management,215.0
95,CR655,Culinary Studies,154.0
96,CR657,Hospitality Studies,181.0
97,CR805,Marine Electrotechnology at National Maritime College of Ireland,220.0
98,CR888,Information Technology,274.0
99,CT110,Computing in Information Technology,154.0
100,CT116,Information Technology,143.0
101,CT316,Business,154.0
102,DS601,Business,207.0
103,DS602,Computing and Multimedia,254.0
104,DS603,Computing and Multimedia,272.0
105,DS701,Business,207.0
106,DS702,Computing and Multimedia,128.0
107,DB513,Business,128.0
108,DB522,Business in Accounting,
109,DB533,Business in Marketing,154.0
110,DB563,Arts,117.0
111,DB571,Business Studies,181.0
112,DB572,Business in Accounting,118.0
113,DB573,Business in Marketing,100.0
114,DB574,Business in Information Technology,155.0
115,DB575,Social Studies,122.0
116,DB576,Film and Media,108.0
117,DB578,Journalism and Media,146.0
118,DB580,Legal Studies,113.0
119,DB581,Legal and Business Studies,137.0
120,DB582,Legal Studies,136.0
121,DB583,Legal and Business Studies,173.0
122,DT002,Engineering Systems Maintenance,232.0
123,DT003,Automation Engineering,290.0
124,DT004,Civil Engineering,270.0
125,DT005,Building Services Engineering,232.0
126,DT006,Mechanical Engineering,321.0
127,DT007,Automotive Management and Technology,240.0
128,DT008,Electronics and Communications Engineering,254.0
129,DT009,Electrical and Control Engineering,251.0
130,DT010,Electrical Services Engineering,255.0
131,DT011,Aviation Technology,341.0
132,DT080,Networking Technologies,250.0
133,DT097,Engineering (General Entry),370.0
134,DT104,Auctioneering Valuation and Estate Agency,279.0
135,DT169,Timber Product Technology,262.0
136,DT212,Science (General Entry),381.0
137,DT219,Ophthalmic Dispensing,312.0
138,DT259,Biosciences,380.0
139,DT260,Industrial and Environmental Physics,262.0
140,DT261,Medicinal Chemistry and Pharmaceutical Sciences,340.0
141,DT303,Marketing,350.0
142,DT315,Business Studies,340.0
143,DT324,Business Management,340.0
144,DT360,Retail Management and Marketing,300.0
145,DT404,Food Sales and Culinary Practice,241.0
146,DT406,Tourism Management,280.0
147,DT408,Hospitality Management,270.0
148,DT411,Leisure Management,251.0
149,DT418,Baking and Pastry Arts Management,254.0
150,DT424,Food Science and Management,290.0
151,DT425,Pharmacy Technician Studies,357.0
152,DT432,Culinary Arts (Professional Culinary Practice),200.0
153,DT598,Visual Merchandising and Display,494.0
154,DL701,Business - Applied Entrepreneurship,109.0
155,DL704,Creative Music Production,890.0
156,GC240,Computing (Cork),
157,GC265,Journalism (Cork),120.0
158,GC306,International Hospitality Management (Limerick),293.0
159,GC311,Business (Limerick),160.0
160,GC316,Business (Limerick),244.0
161,GC335,Computing (Limerick),392.0
162,GC340,Computing (Limerick),309.0
163,GC406,International Hospitality Management (Dublin),142.0
164,GC410,Marketing (Dublin),216.0
165,GC411,Business (Dublin),
166,GC416,Business (Dublin),177.0
167,GC425,Legal Studies (Dublin),
168,GC435,Computing (Dublin),118.0
169,GC440,Computing (Dublin),191.0
170,GC460,Music Production for Games (Dublin - Portfolio required),
171,GC465,Journalism (Dublin),127.0
172,GC466,Film and TV Production (Dublin),102.0
173,GC470,Photographic Media (Dublin),
174,GC475,Photography (Dublin),
175,GC490,Interior Design (Dublin),146.0
176,GC491,Art and Design (Dublin),
177,BN001,Computer Engineering,182.0
178,BN002,Computing (Information Technology),195.0
179,BN003,Business,188.0
180,BN009,Mechatronic Engineering,190.0
181,BN010,Business and Information Technology,180.0
182,BN011,Applied Social Studies in Social Care,271.0
183,BN012,Computer Engineering,194.0
184,BN013,Computing (Information Technology),101.0
185,BN014,Business,180.0
186,BN015,Engineering (Common Entry - Computer EngineeringMechatronics),133.0
187,BN016,Business (Common Entry-BusinessBus with ITIntl BusAcc & FinDig,108.0
188,BN017,International Business,180.0
189,BN020,Sports Management and Coaching,252.0
190,BN021,Creative Digital Media,125.0
191,BN022,Horticulture,143.0
192,BN025,Community and Youth Development,117.0
193,BN030,Early Childhood Care and Education,230.0
194,BN034,Digital Forensics and Cyber Security,190.0
195,BN040,Digital Marketing,190.0
196,TA006,Culinary Arts,101.0
197,TA014,Advertising and Marketing Communications (Portfolio),629.0
198,TA015,International Hospitality and Tourism Management,117.0
199,TA106,Business (Common entry),179.0
200,TA111,Accounting and Finance,170.0
201,TA113,Management,172.0
202,TA114,Marketing,170.0
203,TA116,International Business,170.0
204,TA201,Electronic Engineering,109.0
205,TA203,Mechanical Engineering,136.0
206,TA213,Mechanical Engineering,180.0
207,TA215,Energy and Environmental Engineering,217.0
208,TA216,Electronic Engineering,155.0
209,TA218,Biomedical Design,191.0
210,TA301,Applied Biology,187.0
211,TA302,Computing,198.0
212,TA311,Bioanalysis,188.0
213,TA312,Computing,200.0
214,TA313,Information Technology Management,205.0
215,TA314,Pharmaceutical Science,244.0
216,TA315,DNA and Forensic Analysis,242.0
217,TA316,Sports Science and Health,335.0
218,NC102,Computing in Applications and Support,234.0
219,NC103,Business,260.0
220,NC104,Business Computing,231.0
221,PI201,Montessori Education,148.0
222,NM701,Montessori Education,136.0
223,TR801,Dental Nursing,346.0
224,TR802,Dental Hygiene,398.0
225,TR803,Dental Technology,363.0
226,DK615,Front Office Management and Business Administration,
227,DK620,Computing and Business,
228,DK640,Applied Engineering,
229,DK650,Culinary Arts,108.0
230,DK651,Hospitality Studies,
231,DK710,Business and Management,157.0
232,DK711,Business and Technology,186.0
233,DK712,Digital Marketing Communication and Public Relations,165.0
234,DK721,Computing,156.0
235,DK740,Engineering - Electrical and Electronic Systems,170.0
236,DK742,Engineering - Mechanical Engineering,120.0
237,DK744,Engineering - Civil Engineering,205.0
238,DK745,Construction Technology,156.0
239,DK750,Hospitality Management,173.0
240,DK752,Event Management,161.0
241,DK753,Culinary Arts,200.0
242,DK763,Sport Exercise and Enterprise,209.0
243,DK767,Community Youth Work,220.0
244,DK769,Media Arts and Technologies,173.0
245,DK770,Theatre & Film Practice,184.0
246,DK781,Science - Applied Bioscience,183.0
247,DK783,Science - Pharmaceutical Science,209.0
248,DK784,Veterinary Nursing,388.0
249,GA170,Business,246.0
250,GA171,Business Information Systems,257.0
251,GA172,Rural Enterprise and Agri-Business - Mountbellew Campus,270.0
252,GA174,Business in Marketing and Sales,286.0
253,GA175,Business in Finance,311.0
254,GA176,Business with Entrepreneurship,270.0
255,GA272,Heritage Studies,211.0
256,GA273,Contemporary Art,209.0
257,GA274,Design,243.0
258,GA360,Tourism,
259,GA361,Culinary Arts,190.0
260,GA362,Hotel and Hospitality Operations,161.0
261,GA370,Hotel and Catering Management,163.0
262,GA372,Culinary Arts Management,
263,GA375,Retail Management,162.0
264,GA376,Event Management with Public Relations,202.0
265,GA377,International Tourism Management,160.0
266,GA460,Construction Management,207.0
267,GA461,Quantity Surveying and Construction Economics,203.0
268,GA462,Architectural Technology,228.0
269,GA463,Civil Engineering,215.0
270,GA470,Construction Management,251.0
271,GA471,Quantity Surveying and Construction Economics,200.0
272,GA472,Architectural Technology,213.0
273,GA473,Civil Engineering,263.0
274,GA570,Computer and Electronic Engineering,205.0
275,GA670,Mechanical Engineering,260.0
276,GA673,Energy Engineering,260.0
277,GA674,Biomedical Engineering,308.0
278,GA675,Agricultural Engineering,289.0
279,GA770,Applied Freshwater and Marine Biology,281.0
280,GA771,Applied Biology and Biopharmaceutical Science,282.0
281,GA772,Chemical and Pharmaceutical Science,287.0
282,GA773,Physics and Instrumentation,327.0
283,GA774,Science (Undenominated),283.0
284,GA775,Computing in Software Development,275.0
285,GA776,Computing and Digital Media,260.0
286,GA777,Agriculture and Environmental Management - Mountbellew Campus,290.0
287,GA870,Outdoor Education and Leisure - Mayo Campus,163.0
288,GA871,Early Childhood Care and Education - Mayo Campus,215.0
289,GA877,Business - Mayo Campus,168.0
290,GA878,Accounting and Financial Management - Mayo Campus,169.0
291,GA879,Applied Social Care - Mayo Campus,270.0
292,GA970,Furniture Design and Manufacture - Letterfrack Campus,216.0
293,GA971,Furniture and Wood Technology - Letterfrack Campus,198.0
294,GB001,Business,108.0
295,LY107,Business - Common Entry (award options:Accounting/Management/Mark,162.0
296,LY116,Business - Administration IT & Customer Service,126.0
297,LY206,Sports Studies,101.0
298,LY207,Law - with Criminal Justice/French/Spanish/German/Irish,163.0
299,LY317,Culinary Arts at Killybegs Co Donegal,168.0
300,LY327,Hospitality and Tourism (Common Entry),170.0
301,LY336,Bar and Restaurant Supervision at Killybegs Co Donegal,100.0
302,LY346,Culinary Arts at Killybegs Co Donegal,
303,LY406,Photography,
304,LY427,Digital Film and Video,178.0
305,LY437,Animation,171.0
306,LY447,Fashion with Promotion,168.0
307,LY457,Graphic and Digital Design,
308,LY507,Quantity Surveying,162.0
309,LY527,Civil Engineering,190.0
310,LY547,Architectural Technology,162.0
311,LY607,Electronic/Computer Engineering,172.0
312,LY617,Mechanical Engineering,170.0
313,LY707,Computer Games Development,194.0
314,LY717,Computing,171.0
315,LY737,Computer Security and Digital Forensics,208.0
316,LY806,Pharmacy Technician,167.0
317,LY816,Dental Nursing,162.0
318,LY817,Bioscience,241.0
319,LY837,Food Science and Nutrition,179.0
320,LY847,Veterinary Nursing,357.0
321,LY867,Pharmaceutical & Medicinal Science,167.0
322,LY877,Agriculture,204.0
323,LY906,Early Childhood Care Health and Education,128.0
324,LY916,Health and Social Care,128.0
325,CI001,Counselling Skills and Psychotherapy Studies (Limerick),
326,CI002,Counselling Skills and Addiction Studies (Limerick),136.0
327,CI005,Counselling Skills and Youth Studies (Limerick),128.0
328,LC111,Design (Fashion Knitwear and Textiles - Portfolio),784.0
329,LC221,Business (Accounting and Finance),251.0
330,LC222,Business (Marketing and Management),279.0
331,LC228,Sports Development and Coaching,261.0
332,LC232,Business Computing,260.0
333,LC235,Internet Systems Development,207.0
334,LC244,Sustainable Building and Energy Engineering,262.0
335,LC251,Civil Engineering,200.0
336,LC253,Construction,200.0
337,LC256,Construction Practice,
338,LC257,Interior Design and Technology,233.0
339,LC260,Applied Biology,233.0
340,LC264,Environmental and Analytical Science,223.0
341,LC267,Pharmaceutical and Forensic Analysis,291.0
342,LC268,Medical Technology,272.0
343,LC270,Music Technology and Production,325.0
344,LC271,Industrial Electrical Engineering,220.0
345,LC276,Broadcast Screen Production,242.0
346,LC277,Industrial Automation and Robotic Systems,225.0
347,LC278,Renewable and Electrical Energy Systems,205.0
348,LC279,Electronic Engineering,262.0
349,LC281,Automobile Technology,201.0
350,LC284,Agricultural Mechanisation (Salesian Agricultural College Pallaskenry),188.0
351,LC285,Mechanical Engineering,236.0
352,LC286,Road Transport Technology and Management,237.0
353,LC287,Precision Engineering,255.0
354,LC296,Hotel Front Office Management,182.0
355,LC298,Culinary Arts,251.0
356,LC299,Hospitality Studies,204.0
357,LC403,Computing (Thurles),216.0
358,LC412,Business (Marketing and Management - Thurles),231.0
359,LC423,Sports Strength and Conditioning (Thurles),200.0
360,LC425,Environmental and Natural Resource Management (Thurles),244.0
361,LC428,Environmental Management in Agriculture (Thurles),232.0
362,LC432,Early Childhood Care and Education (Thurles),216.0
363,LC501,Business (Clonmel),202.0
364,LC504,Creative Media and Design (Clonmel),197.0
365,LC602,Social Care Work (Ennis),268.0
366,LM180,Equine Science,301.0
367,AS201,Nutrition Food and Business Management,262.0
368,SG101,Business,100.0
369,SG105,Business in Office Administration,100.0
370,SG108,Business in Accounting,210.0
371,SG131,Computing - Games Development,216.0
372,SG134,Applied Sport with Business,
373,SG135,Business in Tourism with Event Management,179.0
374,SG136,Computing - Software Development,218.0
375,SG137,Computing - Systems and Networking,198.0
376,SG231,Fine Art (Interview),350.0
377,SG232,Creative Design,200.0
378,SG235,Performing Arts (Theatre Design),225.0
379,SG236,Performing Arts (Acting),198.0
380,SG301,Civil Engineering,137.0
381,SG302,Construction Economics,280.0
382,SG303,Mechanical Engineering,100.0
383,SG305,Electronic and Computer Engineering,156.0
384,SG306,Mechatronics,162.0
385,SG307,Precision Engineering and Design,145.0
386,SG331,Interior Architecture and Design,191.0
