,Course Code,Course,EOS_2018
0,AL801,Software Design with Virtual Reality and Gaming,304
1,AL802,Software Design with Cloud Computing,301
2,AL803,Software Design with Mobile Apps and Connected Devices,309
3,AL805,Network Management and Cloud Infrastructure,329
4,AL810,Quantity Surveying,307
5,AL820,Mechanical and Polymer Engineering,300
6,AL830,General Nursing,410
7,AL832,Psychiatric Nursing,387
8,AL836,Nutrition and Health Science,352
9,AL837,Sports Science with Exercise Physiology,351
10,AL838,Biotechnology,302
11,AL839,Microbiology,322
12,AL840,Pharmaceutical Sciences,328
13,AL841,Athletic and Rehabilitation Therapy,423
14,AL842,Bioveterinary Science,310
15,AL843,Physical Activity and Health Science,310
16,AL850,Business,307
17,AL851,Business and Law,301
18,AL852,Accounting (with optional placement),290
19,AL853,Accounting and Law,305
20,AL855,Hospitality Management (with International placement),312
21,AL857,Digital Marketing,300
22,AL860,Social Care Practice,309
23,AL861,Animation and Illustration (portfolio),615
24,AL863,Graphic and Digital Design (portfolio),703
25,AL864,Early Years Care and Education,307
26,AL870,Applied Psychology,409
27,CW018,Business (options, Wexford)
28,CW028,Early Childhood Education and Care (Wexford),252
29,CW038,Art (portfolio, Wexford)
30,CW058,Tourism and Event Management (Wexford),252
31,CW068,Applied Social Studies - Professional Social Care (Wexford),251
32,CW078,Sustainable Farm Management and Agribusiness (Wexford),266
33,CW088,Visual Communications and Design (Wexford),309
34,CW108,Science (options),261
35,CW128,Brewing and Distilling,271
36,CW178,Sport Science (options),399
37,CW188,Sport Rehabilitation and Athletic Therapy,454
38,CW208,Computer Games Development,281
39,CW238,Software Development,300
40,CW248,Information Technology Management,307
41,CW258,Cybercrime and IT Security,300
42,CW268,Computing in Interactive Digital Art and Design,274
43,CW438,Construction (options),271
44,CW468,Architectural Technology,252
45,CW478,Civil Engineering,348
46,CW548,Mechanical Engineering,310
47,CW558,Electronic Systems,279
48,CW568,Aerospace Engineering,366
49,CW578,TV and Media Production,327
50,CW708,Law - LLB,298
51,CW728,Product Design Innovation,286
52,CW748,Early Childhood Education and Care,265
53,CW758,Applied Social Studies - Professional Social Care,290
54,CW808,Media and Public Relations,248
55,CW848,Digital Marketing with Analytics,279
56,CW858,Sports Management and Coaching (options, portfolio)
57,CW908,Business (options),260
58,CW938,Business with Law,270
59,CW948,Accounting,301
60,PC405,Social, Political and Community Studies
61,PC410,Arts and Humanities (fulfils Teaching Council requirements),203
62,PC411,English and History (fulfils Teaching Council requirements),168
63,CR105,Chemical and Biopharmaceutical Engineering,432
64,CR106,Software Development,351
65,CR108,Mechanical Engineering,425
66,CR109,Structural Engineering,341
67,CR110,Automotive Business Management and Technology,318
68,CR112,Creative Digital Media,335
69,CR116,Computer Systems,318
70,CR121,Music at CIT Cork School of Music,633
71,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,972
72,CR126,Popular Music: Drums at CIT Cork School of Music,878
73,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,584
74,CR128,Popular Music: Keyboards at CIT Cork School of Music,839
75,CR129,Popular Music: Voice at CIT Cork School of Music,857
76,CR130,Musical Theatre,500
77,CR150,Business Information Systems,326
78,CR210,Contemporary Applied Art (Ceramics, Glass
79,CR220,Fine Art at CIT Crawford College of Art and Design,620
80,CR225,Photography with New Media,920
81,CR305,Physical Sciences (Common Entry),279
82,CR310,IT Management,282
83,CR320,Biomedical Science (Offered jointly by CIT and UCC),546
84,CR325,Pharmaceutical Biotechnology,388
85,CR333,Nutrition and Health Science,360
86,CR335,Biological Sciences (Common Entry),381
87,CR340,Analytical Chemistry with Quality Assurance,288
88,CR360,Instrument Engineering,291
89,CR365,Environmental Science and Sustainable Technology,334
90,CR370,Agri-Biosciences,408
91,CR400,Accounting,316
92,CR420,Marketing,288
93,CR425,International Business with Language,300
94,CR500,Engineering (Common Entry),381
95,CR510,Sustainable Energy Engineering,319
96,CR520,Biomedical Engineering,434
97,CR560,Architectural Technology,288
98,CR565,Interior Architecture,336
99,CR570,Quantity Surveying,279
100,CR572,Construction Management,253
101,CR580,Electrical Engineering,344
102,CR590,Electronic Engineering,342
103,CR600,Visual Communications,587
104,CR660,Tourism Management,249
105,CR700,Theatre and Drama Studies at CIT Cork School of Music,768
106,CK101,Arts - 3 years,300
107,CK102,Social Science,391
108,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int'l Pathway),340
109,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397
110,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int'l Pathway),326
111,CK108,Arts International - 4 years,429
112,CK109,English - 3 years or 4 years (International Pathway),347
113,CK110,World Languages,456
114,CK111,Early Years and Childhood Studies,398
115,CK112,Theatre and Performative Practices - 3 or 4 years (Int'l Pathway),324
116,CK113,Criminology - 3 years or 4 years (International Pathway),408
117,CK114,Social Science (Youth and Community Work) - 3 years,
118,CK115,Social Work - Mature Applicants only,
119,CK116,Sports Studies and Physical Education,499
120,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int'l Pathway),307
121,CK120,Applied Psychology,506
122,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393
123,CK122,Government and Political Science,355
124,CK201,Commerce,465
125,CK202,Accounting,467
126,CK203,Business Information Systems,409
127,CK204,Finance,531
128,CK205,Commerce (International) with French,409
129,CK206,Commerce (International) with German,408
130,CK207,Commerce (International) with Italian,408
131,CK208,Commerce (International) with Hispanic Studies,431
132,CK209,Commerce (International) with Irish,509
133,CK211,Commerce (International) with Chinese Studies,398
134,CK212,Economics (Transformational Learning) - 3 or 4 years (Int'l Pathway),400
135,CK301,Law (Pathways) -  3 or 4 years,476
136,CK302,Law and French,453
137,CK304,Law and Irish,462
138,CK307,Law and Business,522
139,CK401,Computer Science,402
140,CK402,Biological and Chemical Sciences,498
141,CK404,Biological, Earth and Environmental Sciences
142,CK405,Genetics,476
143,CK406,Chemical Sciences,457
144,CK407,Mathematical Sciences,531
145,CK408,Physics and Astrophysics,511
146,CK409,Industrial Physics (offered jointly by UCC and CIT),413
147,CK411,Data Science and Analytics,509
148,CK412,Agricultural Science,457
149,CK502,Food Marketing and Entrepreneurship,433
150,CK504,Nutritional Sciences,492
151,CK505,Food Science,444
152,CK506,International Development and Food Policy,367
153,CK600,Engineering,465
154,CK606,Architecture (offered jointly by UCC and CIT),465
155,CK701,Medicine (Undergraduate Entry - HPAT required),729
156,CK702,Dentistry,590
157,CK703,Pharmacy,577
158,CK704,Occupational Therapy,532
