,Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020
0,AC120,International Business,209,209,280
1,AC137,Liberal Arts,252,252,270
2,AD101,"First Year Art & Design (Common Entry,portfolio)",#+matric,#+matric,#+matric
3,AD102,Graphic Design and Moving Image Design (portfolio),#+matric,#+matric,#+matric
4,AD103,Textile & Surface Design and Jewellery & Objects (portfolio),#+matric,#+matric,#+matric
5,AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",#+matric,#+matric,#+matric
6,AD204,Fine Art (portfolio),#+matric,#+matric,#+matric
7,AD211,Fashion Design (portfolio),#+matric,#+matric,#+matric
8,AD212,Product Design (portfolio),#+matric,#+matric,#+matric
9,AD215,Visual Culture,377,320,389
10,AD217,Illustration (portfolio),#+matric,#+matric,#+matric
11,AD222,Interaction Design (portfolio),#+matric,#+matric,#+matric
12,AL600,Software Design,AQA,104,279
13,AL601,Computer Engineering,AQA,112,192
14,AL602,Mechanical Engineering,AQA,260,424
15,AL604,Civil Engineering,AQA,AQA,244
16,AL605,Music and Instrument Technology,AQA,154,306
17,AL630,Pharmacy Technician,295,295,379
18,AL631,Dental Nursing,300,298,388
19,AL632,Applied Science,234,234,434
20,AL650,Business,207,207,326
21,AL660,Culinary Arts,AQA,112,270
22,AL661,Bar Supervision,AQA,101,241
23,AL663,Business (Sport and Recreation),AQA,120,262
24,AL701,Computer Engineering with Network Infrastructure,216,216,337
25,AL702,Software Design with Artificial Intelligence for Cloud Computing,214,214,338
26,AL703,Software Design with Virtual Reality and Gaming,216,224,337
27,AL704,Computer Engineering,204,204,403
28,AL705,Software Design with Mobile Apps and Connected Devices,216,216,337
29,AL710,Mechanical Engineering,223,223,337
30,AL711,Mechanical Engineering and Renewable Energy,228,228,369
31,AL712,Automation and Robotics,252,252,379
32,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),218,218,402
33,AL718,Music and Sound Engineering,214,216,339
34,AL721,Civil Engineering,233,233,357
35,AL730,Biotechnology,250,250,402
36,AL731,Veterinary Nursing,400,400,456
37,AL734,Pharmaceutical Sciences (Drug Development and Analysis),244,244,359
38,AL740,Exercise and Health Science,250,250,367
39,AL751,Digital Marketing,241,241,318
40,AL752,Business,225,225,397
41,AL761,Hotel and Leisure Management,208,208,309
42,AL763,Graphic Design (portfolio),781,781,858
43,AL764,Early Years Care and Education,260,260,398
44,AL765,Applied Social Studies in Social Care,280,280,358
45,AL801,Software Design with Virtual Reality and Gaming,303,303,367
46,AL802,Software Design with Artificial Intelligence for Cloud Computing,332,332,382
47,AL803,Software Design with Mobile Apps and Connected Devices,337,337,360
48,AL805,Computer Engineering with Network Infrastructure,333,333,360
49,AL810,Quantity Surveying,319,326,352
50,AL811,Civil Engineering,320,320,432
51,AL820,Mechanical and Polymer Engineering,308,308,379
52,AL830,General Nursing,442,442,463
53,AL832,Psychiatric Nursing,387,384,399
54,AL836,Nutrition and Health Science,334,334,379
55,AL837,Sports Science with Exercise Physiology,351,351,384
56,AL838,Biotechnology,307,307,356
57,AL839,Microbiology,325,325,393
58,AL840,Pharmaceutical Sciences,347,347,403
59,AL841,Athletic and Rehabilitation Therapy,430,430,465
60,AL842,Bioveterinary Science,313,313,383
61,AL843,Physical Activity and Health Science,306,306,326
62,AL850,Business,309,309,377
63,AL851,Business and Law,295,295,351
64,AL852,Accounting,309,309,422
65,AL854,Sport Management (with international placement),302,299,338
66,AL855,Hospitality Management (with international placement),308,308,347
67,AL857,Digital Marketing,304,304,332
68,AL860,Social Care Practice,300,300,348
69,AL861,Animation and Illustration (portfolio),578,578,878
70,AL863,Graphic and Digital Design (portfolio),781,781,824
71,AL864,Early Years Care and Education,307,307,346
72,AL870,Applied Psychology,418,418,444
73,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",510,518,544
74,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",441,434,466
75,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440,440,484
76,AS051,"Nutrition, Food and Business Management",328,317,398
77,AS054,Home Economics,408,398,429
78,AS110,General Nursing,419,419,431
79,AS130,Intellectual Disability Nursing,336,317,339
80,CI001,Counselling Skills and Psychotherapy Studies,300,300,440
81,CI002,Counselling Skills and Addiction Studies,309,309,367
82,CI005,Counselling Skills and Youth Studies,306,302,451
83,CI110,Counselling and Psychotherapy,310,310,392
84,CI111,Counselling and Addiction Studies,301,301,319
85,CI112,Counselling and Youth Studies,311,311,311
86,CK101,Arts - 3 years,300,300,388
87,CK102,Social Science,412,412,451
88,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302,302,435
89,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),368,319,418
90,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328,328,388
91,CK108,Arts International - 4 years,401,401,466
92,CK109,English - 3 years or 4 years (International Pathway),318,318,441
93,CK110,World Languages,452,410,506
94,CK111,Early Years and Childhood Studies,419,419,451
95,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330,330,434
96,CK113,Criminology - 3 years or 4 years (International Pathway),423,423,463
97,CK114,Social Science (Youth and Community Work) - 3 years,,777,
98,CK115,Social Work - Mature Applicants only,,999,
99,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336,336,378
100,CK120,Applied Psychology,533,531,555
101,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466,466,496
102,CK122,Government and Political Science,337,326,403
103,CK123,Anthropology,308,308,410
104,CK124,Education - Gaeilge,463,452,495
105,CK125,Sports Studies and Physical Education,510,509,532
106,CK201,Commerce,477,477,509
107,CK202,Accounting,509,509,542
108,CK203,Business Information Systems,430,430,467
109,CK204,Finance,556,556,590
110,CK205,Commerce (International) with French,445,445,495
111,CK206,Commerce (International) with German,420,418,476
112,CK207,Commerce (International) with Italian,388,388,455
113,CK208,Commerce (International) with Hispanic Studies,402,402,484
114,CK209,Commerce (International) with Irish,484,484,531
115,CK211,Commerce (International) with Chinese Studies,397,397,433
116,CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444,444,473
117,CK213,Food Marketing and Entrepreneurship,462,462,476
118,CK214,International Development,346,346,422
119,CK301,Law (Pathways) -  3 or 4 years,507,498,531
120,CK302,Law and French,542,542,576
121,CK304,Law and Irish,540,540,565
122,CK307,Law and Business,556,556,589
123,CK401,Computer Science,468,468,509
124,CK402,Biological and Chemical Sciences,510,509,532
125,CK404,"Biological, Earth and Environmental Sciences",467,465,498
126,CK405,Genetics,487,487,498
127,CK406,Chemical Sciences,485,462,494
