,Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020,Level
0,AC120,International Business,209,209,280,8
1,AC137,Liberal Arts,252,252,270,8
2,AD101,"First Year Art & Design (Common Entry,portfolio)",#+matric,#+matric,#+matric,8
3,AD102,Graphic Design and Moving Image Design (portfolio),#+matric,#+matric,#+matric,8
4,AD103,Textile & Surface Design and Jewellery & Objects (portfolio),#+matric,#+matric,#+matric,8
5,AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",#+matric,#+matric,#+matric,8
6,AD204,Fine Art (portfolio),#+matric,#+matric,#+matric,8
7,AD211,Fashion Design (portfolio),#+matric,#+matric,#+matric,8
8,AD212,Product Design (portfolio),#+matric,#+matric,#+matric,8
9,AD215,Visual Culture,377,320,389,8
10,AD217,Illustration (portfolio),#+matric,#+matric,#+matric,8
11,AD222,Interaction Design (portfolio),#+matric,#+matric,#+matric,8
12,AL600,Software Design,AQA,104,279,6
13,AL601,Computer Engineering,AQA,112,192,6
14,AL602,Mechanical Engineering,AQA,260,424,6
15,AL604,Civil Engineering,AQA,AQA,244,6
16,AL605,Music and Instrument Technology,AQA,154,306,6
17,AL630,Pharmacy Technician,295,295,379,6
18,AL631,Dental Nursing,300,298,388,6
19,AL632,Applied Science,234,234,434,6
20,AL650,Business,207,207,326,6
21,AL660,Culinary Arts,AQA,112,270,6
22,AL661,Bar Supervision,AQA,101,241,6
23,AL663,Business (Sport and Recreation),AQA,120,262,6
24,AL701,Computer Engineering with Network Infrastructure,216,216,337,7
25,AL702,Software Design with Artificial Intelligence for Cloud Computing,214,214,338,7
26,AL703,Software Design with Virtual Reality and Gaming,216,224,337,7
27,AL704,Computer Engineering,204,204,403,7
28,AL705,Software Design with Mobile Apps and Connected Devices,216,216,337,7
29,AL710,Mechanical Engineering,223,223,337,7
30,AL711,Mechanical Engineering and Renewable Energy,228,228,369,7
31,AL712,Automation and Robotics,252,252,379,7
32,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),218,218,402,7
33,AL718,Music and Sound Engineering,214,216,339,7
34,AL721,Civil Engineering,233,233,357,7
35,AL730,Biotechnology,250,250,402,7
36,AL731,Veterinary Nursing,400,400,456,7
37,AL734,Pharmaceutical Sciences (Drug Development and Analysis),244,244,359,7
38,AL740,Exercise and Health Science,250,250,367,7
39,AL751,Digital Marketing,241,241,318,7
40,AL752,Business,225,225,397,7
41,AL761,Hotel and Leisure Management,208,208,309,7
42,AL763,Graphic Design (portfolio),781,781,858,7
43,AL764,Early Years Care and Education,260,260,398,7
