Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020,Level
AC120,International Business,209,209,280,8
AC137,Liberal Arts,252,252,270,8
AD101,"First Year Art & Design (Common Entry,portfolio)",#+matric,#+matric,#+matric,8
AD102,Graphic Design and Moving Image Design (portfolio),#+matric,#+matric,#+matric,8
AD103,Textile & Surface Design and Jewellery & Objects (portfolio),#+matric,#+matric,#+matric,8
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",#+matric,#+matric,#+matric,8
AD204,Fine Art (portfolio),#+matric,#+matric,#+matric,8
AD211,Fashion Design (portfolio),#+matric,#+matric,#+matric,8
AD212,Product Design (portfolio),#+matric,#+matric,#+matric,8
AD215,Visual Culture,377,320,389,8
AD217,Illustration (portfolio),#+matric,#+matric,#+matric,8
AD222,Interaction Design (portfolio),#+matric,#+matric,#+matric,8
AL801,Software Design with Virtual Reality and Gaming,303,303,367,8
AL802,Software Design with Artificial Intelligence for Cloud Computing,332,332,382,8
AL803,Software Design with Mobile Apps and Connected Devices,337,337,360,8
AL805,Computer Engineering with Network Infrastructure,333,333,360,8
AL810,Quantity Surveying,319,326,352,8
AL811,Civil Engineering,320,320,432,8
AL820,Mechanical and Polymer Engineering,308,308,379,8
AL830,General Nursing,442,442,463,8
AL832,Psychiatric Nursing,387,384,399,8
AL836,Nutrition and Health Science,334,334,379,8
AL837,Sports Science with Exercise Physiology,351,351,384,8
AL838,Biotechnology,307,307,356,8
AL839,Microbiology,325,325,393,8
AL840,Pharmaceutical Sciences,347,347,403,8
AL841,Athletic and Rehabilitation Therapy,430,430,465,8
AL842,Bioveterinary Science,313,313,383,8
AL843,Physical Activity and Health Science,306,306,326,8
AL850,Business,309,309,377,8
AL851,Business and Law,295,295,351,8
AL852,Accounting,309,309,422,8
AL854,Sport Management (with international placement),302,299,338,8
AL855,Hospitality Management (with international placement),308,308,347,8
AL857,Digital Marketing,304,304,332,8
AL860,Social Care Practice,300,300,348,8
AL861,Animation and Illustration (portfolio),578,578,878,8
AL863,Graphic and Digital Design (portfolio),781,781,824,8
AL864,Early Years Care and Education,307,307,346,8
AL870,Applied Psychology,418,418,444,8
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",510,518,544,8
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",441,434,466,8
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440,440,484,8
AS051,"Nutrition, Food and Business Management",328,317,398,8
AS054,Home Economics,408,398,429,8
AS110,General Nursing,419,419,431,8
AS130,Intellectual Disability Nursing,336,317,339,8
CI110,Counselling and Psychotherapy,310,310,392,8
CI111,Counselling and Addiction Studies,301,301,319,8
CI112,Counselling and Youth Studies,311,311,311,8
CK101,Arts - 3 years,300,300,388,8
CK102,Social Science,412,412,451,8
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302,302,435,8
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),368,319,418,8
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328,328,388,8
CK108,Arts International - 4 years,401,401,466,8
CK109,English - 3 years or 4 years (International Pathway),318,318,441,8
CK110,World Languages,452,410,506,8
CK111,Early Years and Childhood Studies,419,419,451,8
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330,330,434,8
CK113,Criminology - 3 years or 4 years (International Pathway),423,423,463,8
CK114,Social Science (Youth and Community Work) - 3 years,,777,,8
CK115,Social Work - Mature Applicants only,,999,,8
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336,336,378,8
