,Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020,Level
12,AL600,Software Design,AQA,104,279,6
13,AL601,Computer Engineering,AQA,112,192,6
14,AL602,Mechanical Engineering,AQA,260,424,6
15,AL604,Civil Engineering,AQA,AQA,244,6
16,AL605,Music and Instrument Technology,AQA,154,306,6
17,AL630,Pharmacy Technician,295,295,379,6
18,AL631,Dental Nursing,300,298,388,6
19,AL632,Applied Science,234,234,434,6
20,AL650,Business,207,207,326,6
21,AL660,Culinary Arts,AQA,112,270,6
22,AL661,Bar Supervision,AQA,101,241,6
23,AL663,Business (Sport and Recreation),AQA,120,262,6
24,AL701,Computer Engineering with Network Infrastructure,216,216,337,7
25,AL702,Software Design with Artificial Intelligence for Cloud Computing,214,214,338,7
26,AL703,Software Design with Virtual Reality and Gaming,216,224,337,7
27,AL704,Computer Engineering,204,204,403,7
28,AL705,Software Design with Mobile Apps and Connected Devices,216,216,337,7
29,AL710,Mechanical Engineering,223,223,337,7
30,AL711,Mechanical Engineering and Renewable Energy,228,228,369,7
31,AL712,Automation and Robotics,252,252,379,7
32,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),218,218,402,7
33,AL718,Music and Sound Engineering,214,216,339,7
34,AL721,Civil Engineering,233,233,357,7
35,AL730,Biotechnology,250,250,402,7
36,AL731,Veterinary Nursing,400,400,456,7
37,AL734,Pharmaceutical Sciences (Drug Development and Analysis),244,244,359,7
38,AL740,Exercise and Health Science,250,250,367,7
39,AL751,Digital Marketing,241,241,318,7
40,AL752,Business,225,225,397,7
41,AL761,Hotel and Leisure Management,208,208,309,7
42,AL763,Graphic Design (portfolio),781,781,858,7
43,AL764,Early Years Care and Education,260,260,398,7
44,AL765,Applied Social Studies in Social Care,280,280,358,7
80,CI001,Counselling Skills and Psychotherapy Studies,300,300,440,7
81,CI002,Counselling Skills and Addiction Studies,309,309,367,7
82,CI005,Counselling Skills and Youth Studies,306,302,451,7
156,CR001,Applied Physics and Instrumentation,250,250,487,7
157,CR006,Applied Biosciences,361,361,489,7
158,CR007,Analytical and Pharmaceutical Chemistry,240,240,487,7
159,CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),321,321,422,7
160,CR016,Software Development,307,307,413,7
161,CR021,Business (Common Entry),255,255,433,7
162,CR022,Business Administration,190,190,336,7
163,CR031,Social Care Work,346,346,411,7
164,CR032,Recreation and Leisure Management,298,298,378,7
165,CR035,Community Development,100,100,251,7
166,CR041,Tourism Management,216,216,399,7
167,CR042,Hospitality Management,208,208,316,7
168,CR046,Automotive Technology and Management,216,216,337,7
169,CR051,Civil Engineering,248,248,451,7
170,CR052,Construction,251,251,367,7
171,CR053,Interior Architecture,308,308,434,7
172,CR055,Environmental Engineering,258,258,409,7
173,CR061,Electronic Engineering,260,260,444,7
174,CR062,Electrical Engineering,300,300,401,7
175,CR071,Mechanical Engineering,261,261,444,7
